Save 326 - Episode 1356/1400, Score: -87.0 (0.01), AVG Score: -100.84
Save 327 - Episode 1357/1400, Score: -104.0 (0.01), AVG Score: -100.84
Save 328 - Episode 1358/1400, Score: -92.0 (0.01), AVG Score: -100.72
Save 329 - Episode 1359/1400, Score: -105.0 (0.01), AVG Score: -100.74
Save 330 - Episode 1360/1400, Score: -86.0 (0.01), AVG Score: -100.6
Save 331 - Episode 1361/1400, Score: -104.0 (0.01), AVG Score: -100.69
Save 332 - Episode 1362/1400, Score: -104.0 (0.01), AVG Score: -100.69
Save 333 - Episode 1363/1400, Score: -88.0 (0.01), AVG Score: -100.5
Save 334 - Episode 1364/1400, Score: -105.0 (0.01), AVG Score: -100.62
Save 335 - Episode 1365/1400, Score: -105.0 (0.01), AVG Score: -100.57
Save 336 - Episode 1366/1400, Score: -104.0 (0.01), AVG Score: -100.56
Save 337 - Episode 1367/1400, Score: -101.0 (0.01), AVG Score: -100.51
Save 338 - Episode 1368/1400, Score: -103.0 (0.01), AVG Score: -100.46
Save 339 - Episode 1370/1400, Score: -102.0 (0.01), AVG Score: -100.57
Save 340 - Episode 1371/1400, Score: -104.0 (0.01), AVG Score: -100.57
Save 341 - Episode 1372/1400, Score: -92.0 (0.01), AVG Score: -100.45
Save 342 - Episode 1373/1400, Score: -105.0 (0.01), AVG Score: -100.45
Save 343 - Episode 1374/1400, Score: -105.0 (0.01), AVG Score: -100.46
Save 344 - Episode 1376/1400, Score: -90.0 (0.01), AVG Score: -100.56
Save 345 - Episode 1378/1400, Score: -83.0 (0.01), AVG Score: -100.38
Save 346 - Episode 1379/1400, Score: -102.0 (0.01), AVG Score: -100.48
Save 347 - Episode 1380/1400, Score: -106.0 (0.01), AVG Score: -100.71
Save 348 - Episode 1381/1400, Score: -89.0 (0.01), AVG Score: -100.59
Save 349 - Episode 1382/1400, Score: -104.0 (0.01), AVG Score: -100.58
